Date_ID,Date,Year,Month,Month Name,Quarter
D-0000001,2000-01-01T00:00:00,2000,1,January,Q1
D-0000002,2000-02-01T00:00:00,2000,2,February,Q1
D-0000003,2000-03-01T00:00:00,2000,3,March,Q1
D-0000004,2000-04-01T00:00:00,2000,4,April,Q2
D-0000005,2000-05-01T00:00:00,2000,5,May,Q2
D-0000006,2000-06-01T00:00:00,2000,6,June,Q2
D-0000007,2000-07-01T00:00:00,2000,7,July,Q3
D-0000008,2000-08-01T00:00:00,2000,8,August,Q3
D-0000009,2000-09-01T00:00:00,2000,9,September,Q3
D-0000010,2000-10-01T00:00:00,2000,10,October,Q4
D-0000011,2000-11-01T00:00:00,2000,11,November,Q4
D-0000012,2000-12-01T00:00:00,2000,12,December,Q4
D-0000013,2001-01-01T00:00:00,2001,1,January,Q1
D-0000014,2001-02-01T00:00:00,2001,2,February,Q1
D-0000015,2001-03-01T00:00:00,2001,3,March,Q1
D-0000016,2001-04-01T00:00:00,2001,4,April,Q2
D-0000017,2001-05-01T00:00:00,2001,5,May,Q2
D-0000018,2001-06-01T00:00:00,2001,6,June,Q2
D-0000019,2001-07-01T00:00:00,2001,7,July,Q3
D-0000020,2001-08-01T00:00:00,2001,8,August,Q3
D-0000021,2001-09-01T00:00:00,2001,9,September,Q3
D-0000022,2001-10-01T00:00:00,2001,10,October,Q4
D-0000023,2001-11-01T00:00:00,2001,11,November,Q4
D-0000024,2001-12-01T00:00:00,2001,12,December,Q4
D-0000025,2002-01-01T00:00:00,2002,1,January,Q1
D-0000026,2002-02-01T00:00:00,2002,2,February,Q1
D-0000027,2002-03-01T00:00:00,2002,3,March,Q1
D-0000028,2002-04-01T00:00:00,2002,4,April,Q2
D-0000029,2002-05-01T00:00:00,2002,5,May,Q2
D-0000030,2002-06-01T00:00:00,2002,6,June,Q2
D-0000031,2002-07-01T00:00:00,2002,7,July,Q3
D-0000032,2002-08-01T00:00:00,2002,8,August,Q3
D-0000033,2002-09-01T00:00:00,2002,9,September,Q3
D-0000034,2002-10-01T00:00:00,2002,10,October,Q4
D-0000035,2002-11-01T00:00:00,2002,11,November,Q4
D-0000036,2002-12-01T00:00:00,2002,12,December,Q4
D-0000037,2003-01-01T00:00:00,2003,1,January,Q1
D-0000038,2003-02-01T00:00:00,2003,2,February,Q1
D-0000039,2003-03-01T00:00:00,2003,3,March,Q1
D-0000040,2003-04-01T00:00:00,2003,4,April,Q2
D-0000041,2003-05-01T00:00:00,2003,5,May,Q2
D-0000042,2003-06-01T00:00:00,2003,6,June,Q2
D-0000043,2003-07-01T00:00:00,2003,7,July,Q3
D-0000044,2003-08-01T00:00:00,2003,8,August,Q3
D-0000045,2003-09-01T00:00:00,2003,9,September,Q3
D-0000046,2003-10-01T00:00:00,2003,10,October,Q4
D-0000047,2003-11-01T00:00:00,2003,11,November,Q4
D-0000048,2003-12-01T00:00:00,2003,12,December,Q4
D-0000049,2004-01-01T00:00:00,2004,1,January,Q1
D-0000050,2004-02-01T00:00:00,2004,2,February,Q1
D-0000051,2004-03-01T00:00:00,2004,3,March,Q1
D-0000052,2004-04-01T00:00:00,2004,4,April,Q2
D-0000053,2004-05-01T00:00:00,2004,5,May,Q2
D-0000054,2004-06-01T00:00:00,2004,6,June,Q2
D-0000055,2004-07-01T00:00:00,2004,7,July,Q3
D-0000056,2004-08-01T00:00:00,2004,8,August,Q3
D-0000057,2004-09-01T00:00:00,2004,9,September,Q3
D-0000058,2004-10-01T00:00:00,2004,10,October,Q4
D-0000059,2004-11-01T00:00:00,2004,11,November,Q4
D-0000060,2004-12-01T00:00:00,2004,12,December,Q4
D-0000061,2005-01-01T00:00:00,2005,1,January,Q1
D-0000062,2005-02-01T00:00:00,2005,2,February,Q1
D-0000063,2005-03-01T00:00:00,2005,3,March,Q1
D-0000064,2005-04-01T00:00:00,2005,4,April,Q2
D-0000065,2005-05-01T00:00:00,2005,5,May,Q2
D-0000066,2005-06-01T00:00:00,2005,6,June,Q2
D-0000067,2005-07-01T00:00:00,2005,7,July,Q3
D-0000068,2005-08-01T00:00:00,2005,8,August,Q3
D-0000069,2005-09-01T00:00:00,2005,9,September,Q3
D-0000070,2005-10-01T00:00:00,2005,10,October,Q4
D-0000071,2005-11-01T00:00:00,2005,11,November,Q4
D-0000072,2005-12-01T00:00:00,2005,12,December,Q4
D-0000073,2006-01-01T00:00:00,2006,1,January,Q1
D-0000074,2006-02-01T00:00:00,2006,2,February,Q1
D-0000075,2006-03-01T00:00:00,2006,3,March,Q1
D-0000076,2006-04-01T00:00:00,2006,4,April,Q2
D-0000077,2006-05-01T00:00:00,2006,5,May,Q2
D-0000078,2006-06-01T00:00:00,2006,6,June,Q2
D-0000079,2006-07-01T00:00:00,2006,7,July,Q3
D-0000080,2006-08-01T00:00:00,2006,8,August,Q3
D-0000081,2006-09-01T00:00:00,2006,9,September,Q3
D-0000082,2006-10-01T00:00:00,2006,10,October,Q4
D-0000083,2006-11-01T00:00:00,2006,11,November,Q4
D-0000084,2006-12-01T00:00:00,2006,12,December,Q4
D-0000085,2007-01-01T00:00:00,2007,1,January,Q1
D-0000086,2007-02-01T00:00:00,2007,2,February,Q1
D-0000087,2007-03-01T00:00:00,2007,3,March,Q1
D-0000088,2007-04-01T00:00:00,2007,4,April,Q2
D-0000089,2007-05-01T00:00:00,2007,5,May,Q2
D-0000090,2007-06-01T00:00:00,2007,6,June,Q2
D-0000091,2007-07-01T00:00:00,2007,7,July,Q3
D-0000092,2007-08-01T00:00:00,2007,8,August,Q3
D-0000093,2007-09-01T00:00:00,2007,9,September,Q3
D-0000094,2007-10-01T00:00:00,2007,10,October,Q4
D-0000095,2007-11-01T00:00:00,2007,11,November,Q4
D-0000096,2007-12-01T00:00:00,2007,12,December,Q4
D-0000097,2008-01-01T00:00:00,2008,1,January,Q1
D-0000098,2008-02-01T00:00:00,2008,2,February,Q1
D-0000099,2008-03-01T00:00:00,2008,3,March,Q1
D-0000100,2008-04-01T00:00:00,2008,4,April,Q2
D-0000101,2008-05-01T00:00:00,2008,5,May,Q2
D-0000102,2008-06-01T00:00:00,2008,6,June,Q2
D-0000103,2008-07-01T00:00:00,2008,7,July,Q3
D-0000104,2008-08-01T00:00:00,2008,8,August,Q3
D-0000105,2008-09-01T00:00:00,2008,9,September,Q3
D-0000106,2008-10-01T00:00:00,2008,10,October,Q4
D-0000107,2008-11-01T00:00:00,2008,11,November,Q4
D-0000108,2008-12-01T00:00:00,2008,12,December,Q4
D-0000109,2009-01-01T00:00:00,2009,1,January,Q1
D-0000110,2009-02-01T00:00:00,2009,2,February,Q1
D-0000111,2009-03-01T00:00:00,2009,3,March,Q1
D-0000112,2009-04-01T00:00:00,2009,4,April,Q2
D-0000113,2009-05-01T00:00:00,2009,5,May,Q2
D-0000114,2009-06-01T00:00:00,2009,6,June,Q2
D-0000115,2009-07-01T00:00:00,2009,7,July,Q3
D-0000116,2009-08-01T00:00:00,2009,8,August,Q3
