ID,Date_ID,Country_ID,HCPI,Food_CPI,Energy_CPI,PPI,HCPI_available,Food_CPI_available,Energy_CPI_available,Core_CPI_available,PPI_available,COVID,Inflation_Category
IN-F0000001,D-0000001,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000002,D-0000002,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000003,D-0000003,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000004,D-0000004,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000005,D-0000005,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000006,D-0000006,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000007,D-0000007,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000008,D-0000008,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000009,D-0000009,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000010,D-0000010,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000011,D-0000011,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000012,D-0000012,C-000001,0,0,0,0,False,False,False,False,False,Pre-COVID,Unknown
IN-F0000013,D-0000013,C-000001,66.459,0,66.711,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000014,D-0000014,C-000001,66.554,0,66.211,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000015,D-0000015,C-000001,66.647,0,66.468,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000016,D-0000016,C-000001,66.795,0,66.62,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000017,D-0000017,C-000001,67.01,0,66.524,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000018,D-0000018,C-000001,67.138,0,66.713,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000019,D-0000019,C-000001,67.262,0,67.091,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000020,D-0000020,C-000001,67.317,0,66.695,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000021,D-0000021,C-000001,67.494,0,66.855,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000022,D-0000022,C-000001,67.698,0,67.073,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000023,D-0000023,C-000001,67.748,0,67.228,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000024,D-0000024,C-000001,68.002,0,67.59,0,True,False,True,False,False,Pre-COVID,Unknown
IN-F0000025,D-0000025,C-000001,68.16,0,67.768,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000026,D-0000026,C-000001,68.006,0,66.505,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000027,D-0000027,C-000001,68.116,0,66.665,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000028,D-0000028,C-000001,68.426,0,66.843,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000029,D-0000029,C-000001,69.283,0,69.399,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000030,D-0000030,C-000001,69.409,0,69.605,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000031,D-0000031,C-000001,69.538,0,69.682,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000032,D-0000032,C-000001,69.782,0,70.301,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000033,D-0000033,C-000001,70.16,0,70.703,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000034,D-0000034,C-000001,70.331,0,70.825,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000035,D-0000035,C-000001,70.813,0,72.211,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000036,D-0000036,C-000001,70.825,0,72.28,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000037,D-0000037,C-000001,71.003,0,72.363,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000038,D-0000038,C-000001,71.919,0,75.151,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000039,D-0000039,C-000001,72.004,0,74.16,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000040,D-0000040,C-000001,71.852,0,73.208,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000041,D-0000041,C-000001,71.72,0,72.838,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000042,D-0000042,C-000001,71.807,0,72.913,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000043,D-0000043,C-000001,71.96,0,72.995,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000044,D-0000044,C-000001,71.907,0,72.284,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000045,D-0000045,C-000001,72.207,0,73.029,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000046,D-0000046,C-000001,72.194,0,73.161,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000047,D-0000047,C-000001,72.283,0,73.241,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000048,D-0000048,C-000001,72.445,0,73.325,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000049,D-0000049,C-000001,72.621,0,73.409,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000050,D-0000050,C-000001,72.843,0,73.524,0,True,False,True,False,False,Pre-COVID,Low Inflation
IN-F0000051,D-0000051,C-000001,73.062,0,73.613,0,True,False,True,False,False,Pre-COVID,Low Inflation
IN-F0000052,D-0000052,C-000001,73.228,0,73.716,0,True,False,True,False,False,Pre-COVID,Low Inflation
IN-F0000053,D-0000053,C-000001,73.341,0,73.8,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000054,D-0000054,C-000001,73.997,0,75.19,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000055,D-0000055,C-000001,74.081,0,75.447,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000056,D-0000056,C-000001,74.147,0,75.108,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000057,D-0000057,C-000001,74.165,0,75.18,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000058,D-0000058,C-000001,74.25,0,75.26,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000059,D-0000059,C-000001,74.937,0,77.219,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000060,D-0000060,C-000001,74.463,0,75.446,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000061,D-0000061,C-000001,74.382,0,75.497,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000062,D-0000062,C-000001,74.682,0,75.595,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
IN-F0000063,D-0000063,C-000001,74.701,0,75.681,0,True,False,True,False,False,Pre-COVID,Moderate Inflation
